"Name","Phone","Address","Email","Website","ServiceArea","Instagram","Facebook","Twitter","Linkedin","Youtube","BusinessUrl","Rating","ReviewCount","PriceRange","Longitude","Latitude","Alias","BizId","Categories_0_title","Categories_0_url","Categories_1_title","Categories_1_url","Categories_2_title","Categories_2_url","Categories_3_title","Categories_3_url","Categories_4_title","Categories_4_url","FormattedAddress","IsAd","Open_time","ParentBusiness","Ranking","RenderAdInfo","ServicePricing","Snippet"
"Hawthorne & Wood","(919) 240-4337","","nealb@hawthorneandwood.com,info@hawthorneandwood.com","http://www.hawthorneandwood.com","","https://www.instagram.com/hawthorneandwood","","","","","https://www.yelp.com/biz/hawthorne-and-wood-chapel-hill","4.6","212","$$$","-79.0216435","35.9063674","hawthorne-and-wood-chapel-hill","BUx780hWgQJnM0EGuID3LA","New American","/search?find_desc=New+American&find_loc=Chapel+Hill%2C+NC","","","","","","","","","","false","","","1","false","","We celebrated our anniversary and H&W delivered as always! We are never disappointed even though our expectations are high. They continue to change…"
"Talullas","(919) 933-1177","","info@talullas.com","http://www.talullas.com","","","https://www.facebook.com/talullas","https://twitter.com/talullas","","","https://www.yelp.com/biz/talullas-chapel-hill","4.3","356","$$","-79.06271","35.9107663","talullas-chapel-hill","Za8mJnlBaqKKbWefGR0v-w","Middle Eastern","/search?find_desc=Middle+Eastern&find_loc=Chapel+Hill%2C+NC","Turkish","/search?find_desc=Turkish&find_loc=Chapel+Hill%2C+NC","Mediterranean","/search?find_desc=Mediterranean&find_loc=Chapel+Hill%2C+NC","Intimate","/search?find_desc=Intimate&find_loc=Chapel+Hill%2C+NC","Romantic","/search?find_desc=Romantic&find_loc=Chapel+Hill%2C+NC","","false","","","2","false","","I landed in RDU to meet a friend and do some business.  We planned to go to another restaurant that happened to be closed, so we crossed the street…"
"Top Of The Hill Restaurant & Brewery","(919) 929-8676","","contactus@thetopofthehill.com","http://www.thetopofthehill.com","","https://www.instagram.com/thetopofthehill,https://www.instagram.com/embed.js","","","","","https://www.yelp.com/biz/top-of-the-hill-restaurant-and-brewery-chapel-hill","3.7","840","$$","-79.0553581","35.9129465","top-of-the-hill-restaurant-and-brewery-chapel-hill","56USR7ZY3Gsm4lR42yMQSg","American","/search?find_desc=American&find_loc=Chapel+Hill%2C+NC","Breweries","/search?find_desc=Breweries&find_loc=Chapel+Hill%2C+NC","Breakfast & Brunch","/search?find_desc=Breakfast+%26+Brunch&find_loc=Chapel+Hill%2C+NC","Casual","/search?find_desc=Casual&find_loc=Chapel+Hill%2C+NC","Trendy","/search?find_desc=Trendy&find_loc=Chapel+Hill%2C+NC","","false","","","3","false","","Great experience

Sat outside in the rooftop patio area. It was a cool night but we did not feel cold at all it was nice to feel natural air.…"
"Stoney River","(919) 914-6688","","","https://stoneyriver.com/201-s-estes-drive-suite-d13/?utm_medium=url&utm_source=yelp&utm_campaign=chapel_hill&utm_content=website_link","","https://www.instagram.com/stoneyriversteakhouse","https://www.facebook.com/StoneyRiver","","","","https://www.yelp.com/biz/stoney-river-chapel-hill-3","4.1","338","$$$","-79.02582","35.92561","stoney-river-chapel-hill-3","8wj_eqJvrMs5SuS9d5uz2w","Steakhouses","/search?find_desc=Steakhouses&find_loc=Chapel+Hill%2C+NC","Seafood","/search?find_desc=Seafood&find_loc=Chapel+Hill%2C+NC","Sandwiches","/search?find_desc=Sandwiches&find_loc=Chapel+Hill%2C+NC","Classy","/search?find_desc=Classy&find_loc=Chapel+Hill%2C+NC","Intimate","/search?find_desc=Intimate&find_loc=Chapel+Hill%2C+NC","","false","","","4","false","","Great food and ambiance but what stood out was service.  Shout out to our server Jonathan!  He was always one step ahead.  Took great care of me & my…"
"bartaco - Chapel Hill","(910) 807-8226","","","https://bartaco.com/location/chapel-hill/","","https://www.instagram.com/bartacolife","https://www.facebook.com/bartacolife,https://www.facebook.com/btchapelhill","https://twitter.com/bartacolife","https://www.linkedin.com/company/bartaco","","https://www.yelp.com/biz/bartaco-chapel-hill-chapel-hill","4.2","789","$$","-79.02804803775548","35.92799129769915","bartaco-chapel-hill-chapel-hill","p8J-GEm1Tw5xFhJ7DthuyA","Tacos","/search?find_desc=Tacos&find_loc=Chapel+Hill%2C+NC","Cocktail Bars","/search?find_desc=Cocktail+Bars&find_loc=Chapel+Hill%2C+NC","Casual","/search?find_desc=Casual&find_loc=Chapel+Hill%2C+NC","Trendy","/search?find_desc=Trendy&find_loc=Chapel+Hill%2C+NC","","","","false","","","5","false","","Fantastic!
Spicy Margarita!
Plantains!
Everything was wonderful...service was great! 
Online ordering is efficient and quick.
Just go!"
"Tandem Carrboro","(919) 240-7937","","info@tandemcarrboro.com,emma@tandemcarrboro.com","http://www.tandemcarrboro.com","","https://www.instagram.com/tandem.carrboro","https://www.facebook.com/tandemcarrboro","https://twitter.com/tandemcarrboro","","","https://www.yelp.com/biz/tandem-carrboro-carrboro","4","376","$$","-79.0711771","35.9115184","tandem-carrboro-carrboro","CIVVHmRWFa43PyMFkdC5Ow","New American","/search?find_desc=New+American&find_loc=Chapel+Hill%2C+NC","Cocktail Bars","/search?find_desc=Cocktail+Bars&find_loc=Chapel+Hill%2C+NC","Beer Bar","/search?find_desc=Beer+Bar&find_loc=Chapel+Hill%2C+NC","Classy","/search?find_desc=Classy&find_loc=Chapel+Hill%2C+NC","Trendy","/search?find_desc=Trendy&find_loc=Chapel+Hill%2C+NC","","false","","","6","false","","Food: 10/10! I will recommend this spot to anyone traveling to the area. Everything was so flavorful and the sides paired well with each meal! *chefs…"
"Tarantini Italian Restaurant","(919) 942-4240","","","http://www.tarantinirestaurant.com","","","https://www.facebook.com/tarantinirestaurant","","","","https://www.yelp.com/biz/tarantini-italian-restaurant-chapel-hill","4.3","351","$$","-79.024952","35.8540529","tarantini-italian-restaurant-chapel-hill","oawiDpF6mCdTML91aiR40w","Italian","/search?find_desc=Italian&find_loc=Chapel+Hill%2C+NC","Wine Bars","/search?find_desc=Wine+Bars&find_loc=Chapel+Hill%2C+NC","Intimate","/search?find_desc=Intimate&find_loc=Chapel+Hill%2C+NC","Romantic","/search?find_desc=Romantic&find_loc=Chapel+Hill%2C+NC","","","","false","","","7","false","","When we think of restaurants, of course we think of their food, and the atmosphere and the service, and there are so many fine dishes here, which can…"
"Hawkers Asian Street Food","(919) 415-1799","","","https://eathawkers.com/?olonwp=z17TA_tz20aL5UmKf8LjMg","","https://www.instagram.com/eathawkers","https://www.facebook.com/eathawkers","https://twitter.com/eathawkers","","","https://www.yelp.com/biz/hawkers-asian-street-food-chapel-hill-5","4.2","551","$$","-79.02582","35.92561","hawkers-asian-street-food-chapel-hill-5","QPgGz0CS6-2EgjF4IY2hQg","Asian Fusion","/search?find_desc=Asian+Fusion&find_loc=Chapel+Hill%2C+NC","Bars","/search?find_desc=Bars&find_loc=Chapel+Hill%2C+NC","Tapas/Small Plates","/search?find_desc=Tapas%2FSmall+Plates&find_loc=Chapel+Hill%2C+NC","Casual","/search?find_desc=Casual&find_loc=Chapel+Hill%2C+NC","Hipster","/search?find_desc=Hipster&find_loc=Chapel+Hill%2C+NC","","false","","","8","false","","Amazing food, can't wait to come back and try everything else. Great service from our waitress Laila!"
"Al’s Burger Shack","(919) 904-7659","","cfarris12@gmail.com,email@example.com,employment@spothopperapp.com","https://www.alsburgershack.com","","https://www.instagram.com/alsburgershack","","https://twitter.com/alsburgershack","","","https://www.yelp.com/biz/als-burger-shack-chapel-hill","4.4","806","$","-79.0641799","35.910204","als-burger-shack-chapel-hill","YAXz7cwaq3HArq3mHhGOhw","Burgers","/search?find_desc=Burgers&find_loc=Chapel+Hill%2C+NC","Hot Dogs","/search?find_desc=Hot+Dogs&find_loc=Chapel+Hill%2C+NC","Casual","/search?find_desc=Casual&find_loc=Chapel+Hill%2C+NC","Hipster","/search?find_desc=Hipster&find_loc=Chapel+Hill%2C+NC","","","","false","","","9","false","","Consistency is absolute when it comes to a burger joint. Al's delivers that in spades, and occasionally shakes it up with some new featured burgers…"
"Kipos Greek Taverna","(919) 425-0760","","info@kiposchapelhill.com","https://www.kiposchapelhill.com","","https://www.instagram.com/kiposgreektaverna","https://www.facebook.com/kipostaverna","https://twitter.com/kipostaverna","","","https://www.yelp.com/biz/kipos-greek-taverna-chapel-hill","4","544","$$","-79.0263848","35.93548450000001","kipos-greek-taverna-chapel-hill","AwZiEYiim9vpYNbNvH9FOg","Greek","/search?find_desc=Greek&find_loc=Chapel+Hill%2C+NC","Wine Bars","/search?find_desc=Wine+Bars&find_loc=Chapel+Hill%2C+NC","Cocktail Bars","/search?find_desc=Cocktail+Bars&find_loc=Chapel+Hill%2C+NC","Trendy","/search?find_desc=Trendy&find_loc=Chapel+Hill%2C+NC","Casual","/search?find_desc=Casual&find_loc=Chapel+Hill%2C+NC","","false","","","10","false","","Tucked away in the corner of a strip mall, is a place that feels worlds away. Kipp's Greek Taverna has it all: calm, vibe, stellar service, and great…"
